Total rows found:  107  Matching rows:  107

====== Summary of Historic Property for Sale in Harding Township ======
                      Tue Apr  7 16:00:16 2020

@46 Kitchell Rd@11 Whispering Mdw, Morris Twp, 07960@
@46 Kitchell Rd@1 Post House Rd, Harding Township, 07960@
@46 Kitchell Rd@16 Riggs Ct, Bernards Twp, 07920@
@46 Kitchell Rd@502 Van Beuren Rd, Harding Township, 07960@
@46 Kitchell Rd@19 Village Rd, Harding Township, 07976@
@46 Kitchell Rd@6 Great Oaks Rd, Harding Township, 07976@
@46 Kitchell Rd@1 Hartley Farms Rd, Harding Township, 07960@
@46 Kitchell Rd@613 Spring Valley Rd, Harding Township, 07976@
@46 Kitchell Rd@3 Thanksgiving Rd, Harding Township, 07976@
@46 Kitchell Rd@1 Thanksgiving Rd, Harding Township, 07976@
@46 Kitchell Rd@207 Blue Mill Rd, Harding Township, 07976@
@46 Kitchell Rd@5 Laurel Way, Madison, 07940@
@46 Kitchell Rd@11 Colgate Ter, Harding Township, 07960@
@46 Kitchell Rd@2 Pinefield Ln, Harding Township, 07976@
@46 Kitchell Rd@11 Pinefield Ln, Harding Township, 07976@
@46 Kitchell Rd@158 Pleasantville Rd, Harding Township, 07976@
@46 Kitchell Rd@65 Village Rd, Harding Township, 07976@
@46 Kitchell Rd@21 Sand Spring Rd, Harding Township, 07960@
@50 Kitchell Rd@10 Green St, Morristown, 07960@
@50 Kitchell Rd@28 Beechwood Dr, Morris Twp, 07960@
@50 Kitchell Rd@7 Parker Rd, Morris Twp, 07960@
@50 Kitchell Rd@27 Washington Valley Rd, Mendham Township, 07960@
@50 Kitchell Rd@60 Spring Brook Rd, Morris Twp, 07960@
@50 Kitchell Rd@9 Blue Stone Ter, Morris Twp, 07960@
@50 Kitchell Rd@320 S Street 1C Unit C, Morristown, 07960@
@50 Kitchell Rd@76 Childs Rd, Bernards Twp, 07920@
@50 Kitchell Rd@11 Ferndale Rd, Madison, 07940@
@50 Kitchell Rd@232 Chestnut Ave, Bernardsville, 07924@
@50 Kitchell Rd@6 and 7 Coach and Four Ln, Harding Township, 07976@
@50 Kitchell Rd@19 Hilltop Cir, Morris Twp, 07960@
@50 Kitchell Rd@12 Aspen Way, Morris Twp, 07960@
@50 Kitchell Rd@12 Winding Way, Morris Twp, 07960@
@50 Kitchell Rd@93 Lees Hill Rd, Harding Township, 07920@
@50 Kitchell Rd@7 Hawks Nest Ln, Harding Township, 07935@
@50 Kitchell Rd@375 South St, Morris Twp, 07960@
@50 Kitchell Rd@233 Western Ave, Morris Twp, 07960@
@50 Kitchell Rd@631 Spring Valley Rd, Harding Township, 07960@
@50 Kitchell Rd@139 Pleasantville Rd, Harding Township, 07976@
@50 Kitchell Rd@15 Orchard St, Madison, 07940@
@50 Kitchell Rd@2 Shephard Pl, Morris Twp, 07960@
@50 Kitchell Rd@15 Leddell Rd, Mendham Township, 07945@
@50 Kitchell Rd@33 Olde Town Ct, Bernardsville, 07924@
@50 Kitchell Rd@38 Headley Rd, Morristown, 07960@
@50 Kitchell Rd@566 Tempe Wick Rd, Harding Township, 07960@
@50 Kitchell Rd@3 Rolling Hill Dr, Morris Twp, 07960@
@50 Kitchell Rd@3 Carolyn Ct, Morristown, 07960@
@50 Kitchell Rd@156 Pleasantville Rd, Harding Township, 07976@
@50 Kitchell Rd@14 Arbor Way, Morris Twp, 07960@
@50 Kitchell Rd@63 5 Wetmore Ave, Morristown, 07960@
@50 Kitchell Rd@3 Forest Dr, Morristown, 07960@
@50 Kitchell Rd@21 Ellsworth Ave, Morris Twp, 07960@
@50 Kitchell Rd@9 Spring House Ln, Harding Township, 07960@
@50 Kitchell Rd@37 Ravenswood Ln, Harding Township, 07960@
@50 Kitchell Rd@8 Spring Hollow Ln, Harding Township, 07920@
@50 Kitchell Rd@67 Redner Rd Unit 67, Morris Twp, 07960@
@50 Kitchell Rd@10 Whispering Meadows Dr, Morris Twp, 07960@
@50 Kitchell Rd@58 Keats Way, Morris Twp, 07960@
@50 Kitchell Rd@31 Roscoe Ave, Madison, 07940@
@50 Kitchell Rd@63 Village Rd, Harding Township, 07960@
@50 Kitchell Rd@37 Morgan Dr, Harding Township, 07976@
@50 Kitchell Rd@21 Old Mendham Rd, Morris Township, 07960@
@50 Kitchell Rd@35 Meyersville Rd, Harding Township, 07935@
@50 Kitchell Rd@19 Fox Hunt Rd, Harding Township, 07920@
