Block,Lot,Address,Status,District
12,15,545 GREEN VILLAGE RD,Contributing,GV
12,16,495 SPRING VALLEY RD,Contributing,GV
12,17,497 SPRING VALLEY RD,Contributing,GV
12,18,501 SPRING VALLEY RD,Contributing,GV
12,19,224 VILLAGE RD,Contributing,GV
12,21,214 VILLAGE RD,Contributing,GV
12,22,212 VILLAGE RD,Contributing,GV
12,28,17 MILLER RD,Contributing,IS
12.01,1,25 MEYERSVILLE RD,Non Contributing,GV
12.01,2,19 MEYERSVILLE RD,Non Contributing,GV
12.01,2.01,21 MEYERSVILLE RD,Non Contributing,GV
12.01,3,11 MEYERSVILLE RD,Vacant,GV
12.01,4,7 MEYERSVILLE RD,Vacant,GV
12.01,5,15 MEYERSVILLE RD,Contributing,GV
13,1.01,72 WOODLAND RD,Contributing,IS
13,7,14 MILLER RD,Contributing,IS
14,1.01,121 PLEASANTVILLE RD,Contributing,IS
14,3.01,147 PLEASANTVILLE RD,Contributing,IS
14,4,153 PLEASANTVILLE RD,Contributing,IS
14,5,126 VILLAGE RD,Contributing,IS
15,1,22 VILLAGE RD,Contributing,NV
15,2,28 VILLAGE RD,Contributing,NV
15,3,30 VILLAGE RD,Contributing,NV
15,4,32 VILLAGE RD,Contributing,NV
15,7,42 VILLAGE RD,Contributing,IS
15,21.04,95 PLEASANTVILLE RD,Contributing,IS
15,23,65 PLEASANTVILLE RD,Contributing,PL
15,24,55 PLEASANTVILLE RD,Non Contributing,PL
15,25,87 MILLBROOK RD,Contributing,PL
15,25.01,81 MILLBROOK RD,Non Contributing,PL
15,26,71 MILLBROOK RD,Contributing,PL
15,26.01,69 MILLBROOK RD,Non Contributing,PL
15,26.02,77 MILLBROOK RD,Non Contributing,PL
15,27,59 MILLBROOK RD,Contributing,PL
15,27.01,67 MILLBROOK RD,Non Contributing,PL
15,29,53 MILLBROOK RD,Contributing,IS
15,30,49 MILLBROOK RD,Contributing,IS
15,31,47 MILLBROOK RD,Contributing,IS
15,33,31 MILLBROOK RD,Contributing,NV
15,33.01,29 MILLBROOK RD,Contributing,NV
15,33.02,33 MILLBROOK RD,Contributing,NV
15,34,27 MILLBROOK RD,Contributing,NV
15,35,25 MILLBROOK RD,Contributing,NV
15,36,23 MILLBROOK RD,Contributing,NV
16,1,21 VILLAGE RD,Park,NV
16,2,25 VILLAGE RD,Non Contributing,NV
16,3,27 VILLAGE RD,Contributing,NV
16,3.01,29 VILLAGE RD,Non Contributing,NV
16,4,31 VILLAGE RD,Contributing,NV
16,5,33 VILLAGE RD,Contributing,NV
16,9,45 VILLAGE RD,Contributing,IS
16,11,55 VILLAGE RD,Contributing,IS
16,14,81 VILLAGE RD,Contributing,IS
16,15,93 VILLAGE RD,Contributing,IS
16,18.01,22 FEATHERBED LANE,Contributing,IS
16,20,52 BLUE MILL RD,Contributing,IS
16,21,50 BLUE MILL RD,Contributing,IS
16,21.01,48 BLUE MILL RD,Contributing,IS
16,22,46 BLUE MILL RD,Contributing,IS
16,23,42 BLUE MILL RD,Contributing,IS
16,24,38 BLUE MILL RD,Contributing,IS
16,25,36 BLUE MILL RD,Contributing,IS
16,26,34 BLUE MILL RD,Contributing,IS
16,28,9 MILLBROOK RD,Contributing,NV
16,29,11 MILLBROOK RD,Contributing,NV
17,1,8 MILLBROOK RD,Key Contributing,NV
17,2,10 MILLBROOK RD,Contributing,NV
17,3,14 MILLBROOK RD,Contributing,NV
17,4,16 MILLBROOK RD,Contributing,NV
17,5,12 MILLBROOK RD,Contributing,NV
17,6,18 MILLBROOK RD,Contributing,NV
17,7,20 MILLBROOK RD,Contributing,NV
17,8,22 MILLBROOK RD,Contributing,NV
17,9.01,24 MILLBROOK RD,Contributing,NV
17,9.02,26 MILLBROOK RD,Contributing,NV
17,9.03,32 MILLBROOK RD,Contributing,NV
17,9.04,28 MILLBROOK RD,Non Contributing,NV
17,14,70 MILLBROOK RD,Non Contributing,PL
17,16,88 MILLBROOK RD,Non Contributing,PL
17,17,90 MILLBROOK RD,Vacant,PL
17,18,43 PLEASANTVILLE RD,Contributing,PL
17,19,39 PLEASANTVILLE RD,Contributing,PL
17,20,35 PLEASANTVILLE RD,Contributing,PL
17,21,33 PLEASANTVILLE RD,Contributing,PL
17,23,29 PLEASANTVILLE RD,Contributing,PL
17,24,25 PLEASANTVILLE RD,Non Contributing,PL
17,25,21 PLEASANTVILLE RD,Non Contributing,PL
17,25.01,4 ORCHARD DR,Non Contributing,PL
17,26,19 PLEASANTVILLE RD,Contributing,PL
17,27,2 ORCHARD DR,Contributing,PL
17,33,67 LONG HILL RD,Contributing,IS
17,41,37 LONG HILL RD,Contributing,IS
17,55,7 LEES HILL RD,Contributing,NV
17,56,1 LEES HILL RD,Key Contributing,NV
17,57,4 VILLAGE RD,Non Contributing,NV
17,58,6 VILLAGE RD,Non Contributing,NV
17,60,8 VILLAGE RD,Contributing,NV
17,61,12 VILLAGE RD,Contributing,NV
17,61.01,14 VILLAGE RD,Contributing,NV
17,61.02,10 VILLAGE RD,Contributing,NV
18,1,12 BLUE MILL RD,Non Contributing,NV
18,2,2 MILLBROOK RD,Contributing,NV
18,3,9 VILLAGE RD,Key Contributing,NV
18,3.01,7 VILLAGE RD,Non Contributing,NV
18,3.02,4 MILLBROOK RD,Non Contributing,NV
18,4,11 VILLAGE RD,Contributing,NV
18,5,15 VILLAGE RD,Contributing,NV
18,6,17 VILLAGE RD,Contributing,NV
18,7,19 VILLAGE RD,Contributing,NV
18,8,5 VILLAGE RD,Contributing,NV
18,9,3 VILLAGE RD,Contributing,NV
18,10,1 VILLAGE RD,Contributing,NV
18,11,6 BLUE MILL RD,Contributing,NV
18,12,10 BLUE MILL RD,Contributing,NV
19,1,26 SAND SPRING RD,Contributing,IS
19,2,14 SAND SPRING LANE,Non Contributing,SLA
19,3,18 SAND SPRING LANE,Contributing,SLA
19,4,32 SAND SPRING LANE,Non Contributing,SLA
19,5,44 SAND SPRING LANE,Vacant,SL
19,6,537 JAMES ST,Contributing,SL
19,7,521 JAMES ST,Contributing,SL
19,7.01,527 JAMES ST,Contributing,SL
19,7.02,501 JAMES ST,Non Contributing,SL
19,8,67 BLUE MILL RD,Contributing,IS
19,9,65 BLUE MILL RD,Contributing,IS
19,10.01,61 BLUE MILL RD,Contributing,IS
19,11,53 BLUE MILL RD,Contributing,IS
20,1,66 SAND SPRING RD,Non Contributing,SLA
20,2,60 SAND SPRING RD,Non Contributing,SLA
20,3,46 SAND SPRING RD,Non Contributing,SLA
20,3.01,56 SAND SPRING RD,Land only,SLA
20,4,11 SAND SPRING LANE,Contributing,SLA
20,6,1 SAND SPRING LANE,Contributing,SLA
20,7,,Vacant,SLA
21,2,65 SAND SPRING RD,Contributing,SLA
21,2.01,71 SAND SPRING RD,Non Contributing,SLA
21,3,45 SAND SPRING RD,Contributing,SLA
21,5,33 SAND SPRING RD,Contributing,SLA
21,9,1 BLUE MILL RD,Contributing,NV
21,10,8 GLEN ALPIN RD,Contributing,NV
21,11,20 GLEN ALPIN RD,Non Contributing,NV
21,12,22 GLEN ALPIN RD,Non Contributing,NV
21,13,24 GLEN ALPIN RD,Non Contributing,NV
21,14,26 GLEN ALPIN RD,Contributing,NV
21,15,30 GLEN ALPIN RD,Contributing,NV
21,15.01,36 GLEN ALPIN RD,Non Contributing,NV
21,15.02,34 GLEN ALPIN RD,Contributing,NV
21,16,38 GLEN ALPIN RD,Contributing,NV
22,1,82 SAND SPRING RD,Contributing,SLA
22,1.01,78 SAND SPRING RD,Non Contributing,SLA
22,2,15 SAND SPRING LANE,Vacant,SLA
22,3,29 SAND SPRING LANE,Contributing,SLA
22,4,559 JAMES ST,Contributing,SL
22,4.01,545 JAMES ST,Contributing,SL
22,5,571 JAMES ST,Contributing,SL
23,9,86 SAND SPRING RD,Contributing,SLA
23,10,110 SAND SPRING RD,Contributing,SLA
23,10.01,98 SAND SPRING RD,Non Contributing,SLA
23,10.04,92 SAND SPRING RD,Non Contributing,SLA
23,12,120 SAND SPRING RD,Non Contributing,SLA
23,16,2 SILVER BROOK RD,Non Contributing,SLA
23.02,17,158 SAND SPRING RD,Contributing,IS
23.03,1,162 SAND SPRING RD,Contributing,IS
23.03,2,164 SAND SPRING RD,Contributing,IS
23.03,3,166 SAND SPRING RD,Contributing,IS
23.03,4,168 SAND SPRING RD,Contributing,IS
24,4,173 SAND SPRING RD,Contributing,IS
24,5,171 SAND SPRING RD,Contributing,IS
24,6,169 SAND SPRING RD,Contributing,IS
24,7,167 SAND SPRING RD,Contributing,IS
24,8,165 SAND SPRING RD,Contributing,IS
24,10,161 SAND SPRING RD,Contributing,IS
24,11,159 SAND SPRING RD,Contributing,IS
24,12,157 SAND SPRING RD,Contributing,IS
24,13,155 SAND SPRING RD,Contributing,IS
24,14,153 SAND SPRING RD,Contributing,IS
25,6,504 MT KEMBLE AVE,Contributing,IS
25,7,502 MT KEMBLE AVE,Contributing,IS
25,8,500 MT KEMBLE AVE,Contributing,IS
25,16,2 JENKS RD,Contributing,IS
25.02,10,85 SAND SPRING RD,Contributing,SLA
25.02,10.01,105 SAND SPRING RD,Contributing,SLA
25.02,10.02,95 SAND SPRING RD,Contributing,SLA
25.02,10.06,83 SAND SPRING RD,Non Contributing,SLA
25.02,11,117 SAND SPRING RD,Contributing,SLA
25.02,11.01,121 SAND SPRING RD,Non Contributing,SLA
26,8,100 GLEN ALPIN RD,Contributing,IS
26,9,98 GLEN ALPIN RD,Contributing,IS
26,11,88 GLEN ALPIN RD,Contributing,IS
26,12,76 GLEN ALPIN RD,Contributing,IS
26.02,1,678 MT KEMBLE AVE,Vacant,TW
26.03,5,130 GLEN ALPIN RD,Contributing,IS
27,2,679 MT KEMBLE AVE,Key Contributing,TW
27,3,667 MT KEMBLE AVE,Key Contributing,TW
27,8,535 MT KEMBLE AVE,Contributing,IS
27,15.01,60 JENKS HILL RD,Contributing,IS
27,18,29 JENKS HILL RD,Contributing,IS
31,1,563 TEMPE WICK RD,Contributing,TW
32,4,1211 MT KEMBLE AVE,Contributing,IS
32,9,1111 MT KEMBLE AVE,Contributing,IS
33,5,995 MT KEMBLE AVE,Contributing,IS
33,9,501 TEMPE WICK RD,Non Contributing,TW
33,12,547 TEMPE WICK RD,Contributing,TW
33.03,1.01,1007 MT KEMBLE AVE,Contributing,IS
33.03,8,1109 MT KEMBLE AVE,Contributing,IS
33.03,9,1111 MT KEMBLE AVE,Contributing,IS
34,1,685 MT KEMBLE AVE,Key Contributing,TW
34,1.01,508 TEMPE WICK RD,Non Contributing,TW
34,2,514 TEMPE WICK RD,Non Contributing,TW
34,3,524 TEMPE WICK RD,Contributing,TW
34,4,528 TEMPE WICK RD,Contributing,TW
34,5,536 TEMPE WICK RD,Non Contributing,TW
34,6,554 TEMPE WICK RD,Non Contributing,TW
34,7,562 TEMPE WICK RD,Contributing,TW
34,8,566 TEMPE WICK RD,Non Contributing,TW
34,9,568 TEMPE WICK RD,Contributing,TW
35.01,7,912 MT KEMBLE AVE,Contributing,IS
35.01,16,906 MT KEMBLE AVE,Contributing,IS
35.01,19,870 MT KEMBLE AVE,Vacant,TW
36,6,20 PRIMROSE TRAIL,Contributing,IS
36,8,26 PRIMROSE TRAIL,Contributing,IS
36,10,34 PRIMROSE TRAIL,Contributing,IS
36,11,36 PRIMROSE TRAIL,Contributing,IS
37,1,130 BAILEYS MILL RD,Contributing,IS
38,2,11 LAKE TRAIL WEST,Contributing,IS
38,4,17 LAKE TRAIL WEST,Contributing,IS
38,9,7 LAKE TRAIL WEST,Contributing,IS
